timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_length,flags
1745937246.163523,192.168.1.1,192.168.1.7,UDP,53,50970,85,
1745937246.163934,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.164335,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.16474,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.165062,192.168.1.1,192.168.1.7,UDP,53,55552,84,
1745937246.165395,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.1670249,192.168.1.1,192.168.1.7,UDP,53,50437,224,
1745937246.1674,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.251369,192.168.1.1,192.168.1.7,UDP,53,49824,152,
1745937246.252405,192.168.1.1,192.168.1.7,UDP,53,61721,190,
1745937246.253995,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.2546968,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.25599,192.168.1.1,192.168.1.7,UDP,53,56155,202,
1745937246.25673,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.2585258,192.168.1.1,192.168.1.7,UDP,53,53273,238,
1745937246.2593842,192.168.1.1,192.168.1.7,UDP,53,64998,167,
1745937246.259901,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.260423,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.360845,192.168.1.1,192.168.1.7,UDP,53,57661,106,
1745937246.3619788,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.3632472,192.168.1.1,192.168.1.7,UDP,53,54945,129,
1745937246.363999,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.456852,192.168.1.1,192.168.1.7,UDP,53,54171,339,
1745937246.457973,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.459658,192.168.1.1,192.168.1.7,UDP,53,58505,273,
1745937246.460381,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.462454,192.168.1.1,192.168.1.7,UDP,53,60311,307,
1745937246.4634318,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.5818,192.168.1.1,192.168.1.7,UDP,53,56486,268,
1745937246.5825868,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.584348,192.168.1.1,192.168.1.7,UDP,53,59939,241,
1745937246.585004,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937246.586868,192.168.1.1,192.168.1.7,UDP,53,53718,222,
1745937246.587519,192.168.1.7,192.168.1.1,ICMP,,,70,
1745937257.133388,0.0.0.0,224.0.0.1,2,,,46,
1745937262.94784,192.168.1.7,224.0.0.251,2,,,46,
1745937290.799148,192.168.1.7,17.242.13.5,TCP,57478,5223,104,PA
1745937290.8270562,17.242.13.5,192.168.1.7,TCP,5223,57478,90,PA
1745937290.827584,192.168.1.7,17.242.13.5,TCP,57478,5223,66,A
1745937290.902974,0.0.0.0,255.255.255.255,UDP,68,67,342,
1745937290.961349,192.168.1.7,192.168.1.1,UDP,58064,53,101,
1745937290.961914,192.168.1.7,192.168.1.1,UDP,61537,53,100,
1745937290.962372,192.168.1.7,192.168.1.1,UDP,60423,53,101,
1745937290.962816,192.168.1.7,192.168.1.1,UDP,51516,53,99,
1745937290.9638221,192.168.1.7,192.168.1.1,UDP,56484,53,100,
1745937290.964332,192.168.1.7,192.168.1.1,UDP,51206,53,100,
1745937290.9647648,192.168.1.7,192.168.1.1,UDP,55175,53,78,
1745937290.965145,192.168.1.7,192.168.1.1,UDP,57090,53,84,
1745937290.969696,192.168.1.1,192.168.1.7,UDP,53,58064,178,
1745937290.974347,192.168.1.1,192.168.1.7,UDP,53,61537,177,
1745937290.974946,192.168.1.1,192.168.1.7,UDP,53,60423,178,
1745937290.977076,192.168.1.1,192.168.1.7,UDP,53,51516,176,
1745937290.9777868,192.168.1.1,192.168.1.7,UDP,53,56484,177,
1745937290.979272,192.168.1.1,192.168.1.7,UDP,53,51206,177,
1745937290.981466,192.168.1.1,192.168.1.7,UDP,67,68,590,
1745937291.020488,192.168.1.1,192.168.1.7,UDP,53,57090,84,
1745937291.021294,192.168.1.1,192.168.1.7,UDP,53,55175,154,
1745937291.393429,192.168.1.7,185.125.190.56,UDP,36161,123,90,
1745937291.545443,185.125.190.56,192.168.1.7,UDP,123,36161,90,
