timesp,src_ip,dest_ip,proto,src_port,dest_port,packet_length,labeltam
2025-04-28T20:59:51.627863+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,26126.0,53.0,,normal
2025-04-28T20:59:51.627869+0530,192.168.1.12,192.168.1.1,UDP,21376.0,53.0,,normal
2025-04-28T20:59:51.627876+0530,192.168.1.12,192.168.1.1,UDP,53834.0,53.0,,normal
2025-04-28T20:59:51.627883+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,3525.0,53.0,,normal
2025-04-28T20:59:51.627891+0530,192.168.1.12,192.168.1.1,UDP,60856.0,53.0,,normal
2025-04-28T20:59:51.627897+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0280,UDP,37337.0,53.0,,normal
2025-04-28T20:59:51.627906+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,12607.0,53.0,,normal
2025-04-28T20:59:51.627913+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,4820.0,53.0,,normal
2025-04-28T20:59:51.627921+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,61744.0,53.0,,normal
2025-04-28T20:59:51.627928+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,15726.0,53.0,,normal
2025-04-28T20:59:51.627935+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,15709.0,53.0,,normal
2025-04-28T20:59:51.627942+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0280,UDP,63659.0,53.0,,normal
2025-04-28T20:59:51.627949+0530,192.168.1.12,192.168.1.1,UDP,33752.0,53.0,,normal
2025-04-28T20:59:51.627955+0530,192.168.1.12,192.168.1.1,UDP,52425.0,53.0,,normal
2025-04-28T20:59:51.627961+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,49537.0,53.0,,normal
2025-04-28T20:59:51.627968+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,34854.0,53.0,,normal
2025-04-28T20:59:51.627978+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,52153.0,53.0,,normal
2025-04-28T20:59:51.627985+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,10159.0,53.0,,normal
2025-04-28T20:59:51.627992+0530,192.168.1.12,192.168.1.1,UDP,6809.0,53.0,,normal
