timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_length,flags,label
1745843526.424736,192.168.1.12,17.156.129.37,TCP,61536.0,443.0,66,FA,0
1745843526.704133,17.156.129.37,192.168.1.12,TCP,443.0,61536.0,66,A,0
1745843526.721985,17.156.129.37,192.168.1.12,TCP,443.0,61536.0,66,FA,0
1745843526.722424,192.168.1.12,17.156.129.37,TCP,61536.0,443.0,66,A,0
1745843527.7217731,192.168.1.12,140.82.114.25,TCP,52337.0,443.0,54,A,0
1745843527.9913118,140.82.114.25,192.168.1.12,TCP,443.0,52337.0,66,A,0
1745843528.589702,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,78,S,0
1745843528.617286,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,74,SA,0
1745843528.6237178,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,66,A,0
1745843528.624578,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,583,PA,0
1745843528.6523,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,66,A,0
1745843528.653208,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,1506,A,0
1745843528.653726,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,1506,PA,0
1745843528.654119,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,196,PA,0
1745843528.65448,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,66,A,0
1745843528.734277,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,130,PA,0
1745843528.736619,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,406,PA,0
1745843528.73899,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,1203,PA,0
1745843528.762153,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,66,A,0
1745843528.762626,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,66,A,0
1745843528.763102,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,111,PA,0
1745843528.763468,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,66,A,0
1745843528.766089,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,66,A,0
1745843528.7698529,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,635,PA,0
1745843528.770305,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,770,PA,0
1745843528.7708118,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,66,A,0
1745843528.778217,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,230,PA,0
1745843528.80527,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,66,A,0
1745843528.960159,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,256,PA,0
1745843528.985337,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,66,A,0
1745843528.986371,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,355,PA,0
1745843528.986864,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,66,A,0
1745843529.140361,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,216,PA,0
1745843529.145578,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,168,PA,0
1745843529.1709702,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,255,PA,0
1745843529.171437,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,66,A,0
1745843529.214057,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,66,A,0
1745843529.383308,0.0.0.0,224.0.0.1,2,,,46,,0
1745843530.4346938,192.168.1.12,224.0.0.251,2,,,46,,0
1745843531.192572,192.168.1.12,142.250.82.215,UDP,54888.0,3478.0,162,,0
1745843531.21027,142.250.82.215,192.168.1.12,UDP,3478.0,54888.0,106,,0
1745843534.484493,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,134,PA,0
1745843534.511114,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,66,A,0
1745843534.554069,192.168.1.12,17.137.162.3,TCP,61538.0,443.0,78,S,0
1745843534.8026528,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,74,SA,0
1745843534.80382,192.168.1.12,17.137.162.3,TCP,61538.0,443.0,66,A,0
1745843534.804659,192.168.1.12,17.137.162.3,TCP,61538.0,443.0,583,PA,0
1745843535.054744,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,66,A,0
1745843535.055627,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,1506,A,0
1745843535.056382,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,1506,A,0
1745843535.056892,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,1282,PA,0
1745843535.057288,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,1506,A,0
1745843535.057682,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,920,PA,0
1745843535.058031,192.168.1.12,17.137.162.3,TCP,61538.0,443.0,66,A,0
1745843535.069438,192.168.1.12,17.137.162.3,TCP,61538.0,443.0,159,PA,0
1745843535.318027,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,117,PA,0
1745843535.319243,192.168.1.12,17.137.162.3,TCP,61538.0,443.0,66,A,0
1745843535.321017,192.168.1.12,17.137.162.3,TCP,61538.0,443.0,518,PA,0
1745843535.321826,192.168.1.12,17.137.162.3,TCP,61538.0,443.0,1474,A,0
1745843535.322635,192.168.1.12,17.137.162.3,TCP,61538.0,443.0,706,PA,0
1745843535.3234491,192.168.1.12,17.137.162.3,TCP,61538.0,443.0,165,PA,0
1745843535.571148,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,66,A,0
1745843535.571899,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,78,A,0
1745843535.5723908,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,66,A,0
1745843535.572874,192.168.1.12,17.137.162.3,TCP,61538.0,443.0,706,A,0
1745843535.585328,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,1506,A,0
1745843535.586154,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,1403,PA,0
1745843535.589538,192.168.1.12,17.137.162.3,TCP,61538.0,443.0,66,A,0
1745843535.8193269,17.137.162.3,192.168.1.12,TCP,443.0,61538.0,66,A,0
1745843536.671777,192.168.1.12,17.137.162.3,TCP,61539.0,443.0,78,S,0
1745843536.9174452,17.137.162.3,192.168.1.12,TCP,443.0,61539.0,74,SA,0
1745843536.918488,192.168.1.12,17.137.162.3,TCP,61539.0,443.0,66,A,0
1745843536.9190269,192.168.1.12,17.137.162.3,TCP,61539.0,443.0,583,PA,0
1745843537.162706,17.137.162.3,192.168.1.12,TCP,443.0,61539.0,66,A,0
1745843537.1653252,17.137.162.3,192.168.1.12,TCP,443.0,61539.0,1506,A,0
1745843537.166133,17.137.162.3,192.168.1.12,TCP,443.0,61539.0,1506,A,0
1745843537.166879,17.137.162.3,192.168.1.12,TCP,443.0,61539.0,1282,PA,0
1745843537.167559,192.168.1.12,17.137.162.3,TCP,61539.0,443.0,66,A,0
1745843537.16825,17.137.162.3,192.168.1.12,TCP,443.0,61539.0,1506,A,0
1745843537.168651,17.137.162.3,192.168.1.12,TCP,443.0,61539.0,920,PA,0
1745843537.1690629,192.168.1.12,17.137.162.3,TCP,61539.0,443.0,66,A,0
1745843537.181373,192.168.1.12,17.137.162.3,TCP,61539.0,443.0,159,PA,0
1745843537.4389088,17.137.162.3,192.168.1.12,TCP,443.0,61539.0,117,PA,0
1745843537.440305,192.168.1.12,17.137.162.3,TCP,61539.0,443.0,66,A,0
1745843537.4415202,192.168.1.12,17.137.162.3,TCP,61539.0,443.0,660,PA,0
1745843537.441974,192.168.1.12,17.137.162.3,TCP,61539.0,443.0,1474,A,0
1745843537.44268,192.168.1.12,17.137.162.3,TCP,61539.0,443.0,706,PA,0
1745843537.4430668,192.168.1.12,17.137.162.3,TCP,61539.0,443.0,380,PA,0
1745843537.6881542,17.137.162.3,192.168.1.12,TCP,443.0,61539.0,66,A,0
1745843537.728669,17.137.162.3,192.168.1.12,TCP,443.0,61539.0,66,A,0
1745843537.74105,17.137.162.3,192.168.1.12,TCP,443.0,61539.0,1069,PA,0
1745843537.741657,192.168.1.12,17.137.162.3,TCP,61539.0,443.0,66,A,0
1745843540.327413,192.168.1.5,224.0.0.251,UDP,5353.0,5353.0,152,,0
1745843542.447307,140.82.114.25,192.168.1.12,TCP,443.0,52337.0,92,PA,0
1745843542.4485362,192.168.1.12,140.82.114.25,TCP,52337.0,443.0,66,A,0
1745843542.449524,192.168.1.12,140.82.114.25,TCP,52337.0,443.0,96,PA,0
1745843542.721143,140.82.114.25,192.168.1.12,TCP,443.0,52337.0,66,A,0
1745843546.328324,192.168.1.12,224.0.0.251,UDP,5353.0,5353.0,117,,0
1745843546.332513,192.168.1.12,224.0.0.251,UDP,5353.0,5353.0,117,,0
1745843551.1544871,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,1506,A,0
1745843551.155424,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,674,PA,0
1745843551.155814,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,510,PA,0
1745843551.15618,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,99,PA,0
1745843551.185173,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,66,A,0
